project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
media access control (mac),graduated,"identifier,uuid,adresse,guid,oui",1980-03-13,1980-03-13,1982-11-01,2025-03-17,,3,2025-11-11
messaging layer security (mls),graduated,"sicherheit,kurznachricht,datenuebertragung",2016-01-01,,2016-01-01,2025-04-22,,3,2025-11-11
milvus,graduated,"datenbank,vektor",2019-10-21,,2019-10-21,2025-10-10,,2,2025-11-11
mlflow,graduated,"machine-learning,verarbeitung",2018-06-27,,2018-06-27,2025-09-17,,2,2025-11-11
mobilfunk,graduated,"lte,funk,zelle,drahtlos",1998-12-04,1998-12-04,1999-10-13,2025-04-03,,1,2025-11-11
model context protocol (mcp),graduated,"agent,agentische-ki,kontext",2024-09-24,2024-09-24,2024-10-07,2025-06-18,,3,2025-11-11
module lattice based key encapsulation mechanism,graduated,"schluessel,kryptografie,post-quanten-kryptografie,verschluesselung",2016-12-20,2016-12-20,2022-07-01,2024-08-13,,1,2025-11-11
mongodb,graduated,"nosql,datenbank,dokumentenbasiert",2007-10-01,2007-10-01,2009-02-01,2025-09-30,,1,2025-11-11
multiprotocol label switching (mpls),graduated,"netzwerk,weitverkehr",2001-01-01,,2001-01-01,2014-04-01,,2,2025-11-11
mysql server,graduated,"datenbank,sql,relational",1994-01-01,1994-01-01,1995-05-01,2025-07-22,,1,2025-11-11
n8n,graduated,"automatisierung,open-source,no-code,api,integration",2019-06-21,,2019-06-21,2025-09-08,,2,2025-11-11
neo4j,graduated,"nosql,datenbank,graph",2010-02-01,,2010-02-01,2025-09-29,,2,2025-11-11
